Id,First Name,Last Name,Full Name,Team Id,Team Name,Team Abbreviation,Conference,Division,Position,Height,Weight,Jersey Number,College,Country,Draft Year,Draft Round,Draft Number,Status
1091339436,Mikel,Brown Jr.,Mikel Brown Jr.,3,Brooklyn Nets,BKN,East,Atlantic,G,6-5,190,0,Louisville,USA,2026,1,6,Active
1091340077,AJ,Dybantsa,AJ Dybantsa,30,Washington Wizards,WAS,East,Southeast,F,6-9,210,4,Brigham Young,USA,2026,1,1,Active
1091340263,Kingston,Flemings,Kingston Flemings,1,Atlanta Hawks,ATL,East,Southeast,G,6-4,190,4,Houston,USA,2026,1,8,Active
1091341156,Morez,Johnson,Morez Johnson,7,Dallas Mavericks,DAL,West,Southwest,F,6-9,250,14,Michigan,USA,2026,1,9,Active
1091342427,Darryn,Peterson,Darryn Peterson,29,Utah Jazz,UTA,West,Northwest,G,6-6,205,22,Kansas,USA,2026,1,2,Active
1091343544,Keaton,Wagler,Keaton Wagler,13,LA Clippers,LAC,West,Pacific,G,6-6,175,1,Illinois,USA,2026,1,5,Active
1091343852,Caleb,Wilson,Caleb Wilson,5,Chicago Bulls,CHI,East,Central,F,6-10,215,8,North Carolina,USA,2026,1,4,Active
1091349196,Nate,Ament,Nate Ament,17,Milwaukee Bucks,MIL,East,Central,F,6-10,207,,Tennessee,USA,2026,1,13,Active
1091349204,Christian,Anderson,Christian Anderson,4,Charlotte Hornets,CHA,East,Southeast,G,6-0,165,5,Texas Tech,USA,2026,1,18,Active
1091349754,Brayden,Burries,Brayden Burries,17,Milwaukee Bucks,MIL,East,Central,G,6-4,205,0,Arizona,USA,2026,1,10,Active
1091349831,Cameron,Carr,Cameron Carr,14,Los Angeles Lakers,LAL,West,Pacific,G,6-5,175,43,Baylor,USA,2026,1,24,Active
1091350193,Sergio,De Larrea,Sergio De Larrea,7,Dallas Mavericks,DAL,West,Southwest,G,6-5,175,55,"Valencia, Spain",Spain,2026,1,25,Active
1091350401,Zuby,Ejiofor,Zuby Ejiofor,1,Atlanta Hawks,ATL,East,Southeast,F,6-9,240,20,St. John's,USA,2026,1,23,Active
1091350801,Allen,Graves,Allen Graves,28,Toronto Raptors,TOR,East,Atlantic,F,6-9,225,22,Santa Clara,USA,2026,1,19,Active
1091351802,Yaxel,Lendeborg,Yaxel Lendeborg,10,Golden State Warriors,GSW,West,Pacific,F,6-9,250,1,Alabama-Birmingham,USA,2026,1,11,Active
1091351869,Karim,Lopez,Karim Lopez,15,Memphis Grizzlies,MEM,West,Southwest,F,6-8,210,35,-,Mexico,2026,1,21,Active
1091351965,Aday,Mara,Aday Mara,21,Oklahoma City Thunder,OKC,West,Northwest,C,7-2,255,15,Michigan,Spain,2026,1,12,Active
1091352549,Ebuka,Okorie,Ebuka Okorie,9,Detroit Pistons,DET,East,Central,G,6-2,185,,Stanford,Nigeria,2026,1,17,Active
1091352730,Labaron,Philon,Labaron Philon,23,Philadelphia 76ers,PHI,East,Atlantic,G,6-4,177,0,Alabama,USA,2026,1,22,Active
1091352835,Jayden,Quaintance,Jayden Quaintance,27,San Antonio Spurs,SAS,West,Southwest,F,6-10,255,22,Kentucky,USA,2026,1,20,Active
1091353463,Hannes,Steinbach,Hannes Steinbach,4,Charlotte Hornets,CHA,East,Southeast,F,6-11,,22,Washington,Germany,2026,1,14,Active
1091353486,Bennett,Stirtz,Bennett Stirtz,21,Oklahoma City Thunder,OKC,West,Northwest,G,6-4,180,14,Iowa,USA,2026,1,16,Active
1091353537,Dailyn,Swain,Dailyn Swain,5,Chicago Bulls,CHI,East,Central,F,6-7,220,5,Texas,USA,2026,1,15,Active
1091360181,Chris,Cenac Jr.,Chris Cenac Jr.,2,Boston Celtics,BOS,East,Atlantic,F,6-11,240,12,Houston,USA,2026,1,27,Active
1091361657,Joshua,Jefferson,Joshua Jefferson,3,Brooklyn Nets,BKN,East,Atlantic,F,6-9,240,9,Iowa State,USA,2026,1,28,Active
